Impact,Destination,2000,2050,2100
Infectious diseases,Canary,45,50,60
Infectious diseases,Balearic,66.1,62.5,52.3
Infectious diseases,Crete,74.8,69.8,62.8
Infectious diseases,Cyprus,68.7,60.6,47.2
Infectious diseases,Malta,62.9,60.3,46.4
Infectious diseases,Madeira,45,50,60
Infectious diseases,Corsica,84.9,87.8,83.8
Infectious diseases,Sicily,83.7,79.8,67.7
Infectious diseases,Sardinia,87.1,83.7,74.7
Infectious diseases,Antillas,70,80,80
Infectious diseases,Azores,45,55,66
Heat waves,Canary,14.8,27.2,75.5
Heat waves,Balearic,52.9,68.9,114.7
Heat waves,Crete,31.3,55.7,103
Heat waves,Cyprus,92.1,118.4,161.7
Heat waves,Malta,48.1,71.2,118.2
Heat waves,Madeira,1.9,5.2,29.7
Heat waves,Corsica,14.4,28.9,72.1
Heat waves,Sicily,52,74.1,118.7
Heat waves,Sardinia,49.7,68.6,112.2
Heat waves,Antillas,59.7,76.6,95.3
Heat waves,Azores,16.3,35.55,50.4
Beaches availability,Canary,0,0.62,0.8
Beaches availability,Balearic,0,0.51,0.7
Beaches availability,Crete,0,0.53,0.68
Beaches availability,Cyprus,0,0.38,0.54
Beaches availability,Malta,0,0.58,0.7
Beaches availability,Madeira,0,0.78,0.95
Beaches availability,Corsica,0,0.32,0.54
Beaches availability,Sicily,0,0.47,0.61
Beaches availability,Sardinia,0,0.42,0.77
Beaches availability,Antillas,0,0.52,0.77
Beaches availability,Azores,0,0.85,0.99
Water shortages,Canary,0,2.1,2.4
Water shortages,Balearic,0,1.5,2.3
Water shortages,Crete,0,1.7,2.4
Water shortages,Cyprus,0,1.9,2.4
Water shortages,Malta,0,1.7,2.4
Water shortages,Madeira,0,1.5,2.4
Water shortages,Corsica,0,1,2
Water shortages,Sicily,0,1.4,2.3
Water shortages,Sardinia,0,1.2,2.1
Water shortages,Antillas,0,1.4,2.5
Water shortages,Azores,0,1.2,2.1
Forest fires,Canary,0.58,0.63,0.66
Forest fires,Balearic,0.3,0.35,0.4
Forest fires,Crete,0.45,0.55,0.7
Forest fires,Cyprus,0.45,0.55,0.7
Forest fires,Malta,0.3,0.3,0.3
Forest fires,Madeira,0.35,0.4,0.5
Forest fires,Corsica,0.25,0.3,0.45
Forest fires,Sicily,0.4,0.5,0.55
Forest fires,Sardinia,0.35,0.4,0.5
Forest fires,Antillas,0.3,0.4,0.45
Forest fires,Azores,0.38,0.64,0.65
Marine habitats,Canary,0,0,0
Marine habitats,Balearic,0,0.000290556900725991,0.340922033898305
Marine habitats,Crete,0,0,0
Marine habitats,Cyprus,0,0,0
Marine habitats,Malta,0,0,0.201
Marine habitats,Madeira,0,0,0
Marine habitats,Corsica,0,0,0
Marine habitats,Sicily,0,0,0.283
Marine habitats,Sardinia,0,0,0.144
Marine habitats,Antillas,0,0,0
Marine habitats,Azores,0,0,0
Land habitats,Canary,0,1,1
Land habitats,Balearic,0,0.5,1
Land habitats,Crete,0,0.5,1
Land habitats,Cyprus,0,1,1
Land habitats,Malta,0,0.5,1
Land habitats,Madeira,0,0.5,1
Land habitats,Corsica,0,0.5,1
Land habitats,Sicily,0,1,1
Land habitats,Sardinia,0,1,1
Land habitats,Antillas,0,0.5,0.5
Land habitats,Azores,0,0.5,1
Infrastructure damage,Canary,0,1,1
Infrastructure damage,Balearic,0,1,1
Infrastructure damage,Crete,0,0.5,0.5
Infrastructure damage,Cyprus,0,1,1
Infrastructure damage,Malta,0,0.5,1
Infrastructure damage,Madeira,0,0.5,0.5
Infrastructure damage,Corsica,0,0.5,0.5
Infrastructure damage,Sicily,0,1,1
Infrastructure damage,Sardinia,0,0.5,0.5
Infrastructure damage,Antillas,0,0.5,0.5
Infrastructure damage,Azores,0,0.5,0.5
Cultural heritage damage,Canary,0,0.5,1
Cultural heritage damage,Balearic,0,0.5,0.5
Cultural heritage damage,Crete,0,1,1
Cultural heritage damage,Cyprus,0,1,1
Cultural heritage damage,Malta,0,1,1
Cultural heritage damage,Madeira,0,0.5,1
Cultural heritage damage,Corsica,0,1,1
Cultural heritage damage,Sicily,0,1,1
Cultural heritage damage,Sardinia,0,1,1
Cultural heritage damage,Antillas,0,0.5,0.5
Cultural heritage damage,Azores,0,0.5,0.5
Attractiveness,Canary,0,0.1264,0.1847
Attractiveness,Balearic,0,0.1136,0.3408
Attractiveness,Crete,0,0.3919,0.4482
Attractiveness,Cyprus,0,0.4133,0.4924
Attractiveness,Malta,0,0.2003,0.3342
Attractiveness,Madeira,0,0.2325,0.2737
Attractiveness,Corsica,0,0.2125,0.3575
Attractiveness,Sicily,0,0.1376,0.3844
Attractiveness,Sardinia,0,0.3917,0.5868
Attractiveness,Antillas,0,0.355,0.505
Attractiveness,Azores,0,0.3303,0.4056
