seed,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
0,766.0,756.0,300.0,107.0,61.0,43.0,186.0,255.0,299.0,17.0,19.0,708.0,641.0,279.0,104.0,42.0,43.0,204.0,236.0,246.0,12.0,19.0,302.0,289.0,103.0,47.0,24.0,19.0,72.0,108.0,103.0,13.0,5.0,106.0,113.0,49.0,24.0,11.0,8.0,29.0,39.0,48.0,1.0,2.0,43.0,48.0,29.0,11.0,4.0,3.0,17.0,21.0,24.0,0.0,0.0,63.0,46.0,21.0,4.0,6.0,3.0,19.0,29.0,21.0,1.0,1.0,238.0,198.0,97.0,30.0,22.0,15.0,45.0,75.0,63.0,4.0,6.0,293.0,274.0,117.0,49.0,19.0,21.0,67.0,105.0,82.0,10.0,6.0,246.0,213.0,109.0,35.0,22.0,19.0,77.0,94.0,79.0,8.0,2.0,16.0,13.0,4.0,2.0,0.0,1.0,5.0,6.0,10.0,1.0,0.0,18.0,23.0,11.0,3.0,2.0,1.0,11.0,7.0,6.0,0.0,0.0
1,831.0,737.0,320.0,111.0,60.0,55.0,202.0,316.0,260.0,20.0,20.0,682.0,632.0,263.0,98.0,64.0,44.0,191.0,247.0,232.0,17.0,14.0,303.0,271.0,97.0,40.0,22.0,15.0,73.0,86.0,95.0,10.0,8.0,119.0,107.0,50.0,21.0,11.0,5.0,30.0,45.0,39.0,4.0,4.0,63.0,49.0,21.0,7.0,4.0,2.0,17.0,27.0,12.0,0.0,1.0,59.0,58.0,20.0,6.0,5.0,1.0,22.0,26.0,18.0,1.0,1.0,195.0,197.0,73.0,39.0,17.0,16.0,54.0,78.0,77.0,5.0,6.0,282.0,272.0,124.0,47.0,22.0,19.0,86.0,83.0,103.0,9.0,2.0,262.0,247.0,86.0,31.0,26.0,22.0,56.0,80.0,100.0,2.0,5.0,14.0,17.0,9.0,1.0,1.0,0.0,4.0,6.0,3.0,0.0,1.0,26.0,21.0,7.0,2.0,2.0,2.0,8.0,7.0,5.0,1.0,1.0
2,826.0,736.0,316.0,108.0,61.0,61.0,222.0,314.0,275.0,12.0,15.0,705.0,650.0,233.0,102.0,46.0,44.0,196.0,260.0,236.0,15.0,22.0,315.0,289.0,106.0,42.0,13.0,23.0,70.0,119.0,96.0,6.0,4.0,108.0,112.0,31.0,19.0,9.0,9.0,31.0,31.0,40.0,5.0,2.0,63.0,48.0,20.0,7.0,1.0,2.0,16.0,14.0,14.0,0.0,0.0,47.0,47.0,21.0,7.0,5.0,4.0,17.0,20.0,18.0,1.0,1.0,209.0,191.0,70.0,25.0,20.0,12.0,57.0,79.0,63.0,7.0,4.0,294.0,253.0,99.0,35.0,26.0,16.0,92.0,105.0,98.0,8.0,8.0,261.0,257.0,103.0,44.0,15.0,14.0,77.0,98.0,72.0,7.0,12.0,15.0,12.0,6.0,2.0,3.0,1.0,5.0,3.0,3.0,0.0,0.0,22.0,13.0,10.0,5.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0
3,782.0,753.0,345.0,140.0,65.0,52.0,214.0,300.0,241.0,21.0,15.0,731.0,678.0,267.0,109.0,51.0,54.0,184.0,228.0,236.0,17.0,11.0,300.0,254.0,113.0,34.0,28.0,15.0,82.0,120.0,105.0,6.0,5.0,110.0,109.0,44.0,10.0,15.0,8.0,34.0,29.0,38.0,1.0,1.0,50.0,59.0,23.0,11.0,1.0,4.0,15.0,26.0,25.0,1.0,2.0,45.0,65.0,18.0,7.0,3.0,2.0,13.0,17.0,25.0,3.0,2.0,173.0,178.0,69.0,27.0,8.0,13.0,51.0,75.0,70.0,4.0,3.0,286.0,272.0,102.0,49.0,23.0,19.0,73.0,96.0,97.0,6.0,9.0,276.0,245.0,110.0,41.0,17.0,10.0,81.0,85.0,71.0,3.0,8.0,18.0,15.0,9.0,2.0,4.0,0.0,7.0,4.0,5.0,0.0,0.0,21.0,17.0,7.0,2.0,2.0,1.0,4.0,3.0,8.0,0.0,1.0
4,778.0,719.0,316.0,124.0,62.0,53.0,212.0,301.0,254.0,13.0,18.0,679.0,678.0,241.0,103.0,53.0,46.0,198.0,264.0,225.0,11.0,17.0,299.0,249.0,95.0,39.0,22.0,10.0,90.0,100.0,92.0,7.0,7.0,113.0,112.0,43.0,17.0,7.0,7.0,37.0,33.0,35.0,2.0,7.0,69.0,50.0,31.0,9.0,4.0,4.0,12.0,19.0,20.0,1.0,2.0,53.0,45.0,20.0,4.0,5.0,6.0,10.0,23.0,18.0,1.0,2.0,176.0,192.0,77.0,29.0,12.0,13.0,48.0,81.0,85.0,2.0,5.0,285.0,316.0,116.0,47.0,25.0,21.0,86.0,123.0,93.0,7.0,7.0,243.0,246.0,88.0,49.0,29.0,20.0,68.0,114.0,102.0,10.0,4.0,13.0,18.0,6.0,2.0,1.0,3.0,4.0,5.0,7.0,0.0,2.0,26.0,15.0,7.0,5.0,1.0,3.0,4.0,5.0,8.0,0.0,2.0
5,792.0,756.0,287.0,122.0,62.0,61.0,223.0,268.0,309.0,16.0,15.0,670.0,648.0,259.0,100.0,52.0,51.0,191.0,259.0,212.0,19.0,18.0,300.0,281.0,116.0,42.0,27.0,12.0,66.0,130.0,115.0,9.0,13.0,94.0,114.0,44.0,24.0,9.0,9.0,30.0,33.0,23.0,1.0,4.0,60.0,60.0,22.0,13.0,3.0,5.0,19.0,21.0,31.0,0.0,0.0,61.0,49.0,21.0,7.0,5.0,1.0,11.0,28.0,20.0,0.0,0.0,215.0,198.0,72.0,24.0,14.0,14.0,57.0,77.0,62.0,5.0,4.0,259.0,237.0,107.0,41.0,23.0,13.0,73.0,113.0,103.0,8.0,4.0,275.0,257.0,99.0,38.0,36.0,11.0,61.0,91.0,107.0,4.0,7.0,15.0,13.0,6.0,2.0,0.0,2.0,3.0,8.0,6.0,0.0,0.0,20.0,19.0,7.0,4.0,0.0,2.0,2.0,7.0,4.0,0.0,0.0
6,761.0,743.0,300.0,118.0,56.0,58.0,223.0,295.0,262.0,19.0,22.0,700.0,659.0,279.0,97.0,53.0,41.0,207.0,266.0,237.0,22.0,20.0,283.0,250.0,107.0,45.0,19.0,23.0,80.0,116.0,97.0,1.0,5.0,124.0,92.0,48.0,15.0,9.0,8.0,30.0,53.0,51.0,0.0,3.0,70.0,56.0,16.0,7.0,10.0,3.0,15.0,38.0,19.0,1.0,0.0,47.0,41.0,17.0,12.0,2.0,2.0,9.0,22.0,12.0,0.0,1.0,204.0,179.0,79.0,31.0,18.0,5.0,42.0,83.0,77.0,6.0,4.0,296.0,265.0,129.0,32.0,23.0,27.0,83.0,102.0,109.0,10.0,7.0,248.0,243.0,92.0,35.0,22.0,22.0,84.0,101.0,75.0,3.0,3.0,11.0,15.0,8.0,0.0,0.0,2.0,3.0,8.0,3.0,0.0,0.0,17.0,16.0,6.0,2.0,1.0,0.0,11.0,9.0,4.0,0.0,0.0
7,793.0,688.0,315.0,130.0,76.0,36.0,191.0,287.0,287.0,20.0,22.0,667.0,668.0,278.0,95.0,46.0,39.0,179.0,270.0,263.0,16.0,14.0,266.0,264.0,117.0,47.0,28.0,21.0,61.0,100.0,100.0,10.0,7.0,116.0,118.0,45.0,26.0,11.0,7.0,38.0,41.0,48.0,2.0,1.0,60.0,44.0,30.0,7.0,2.0,2.0,18.0,29.0,21.0,1.0,1.0,38.0,48.0,26.0,7.0,8.0,1.0,20.0,17.0,24.0,1.0,1.0,210.0,207.0,80.0,33.0,14.0,10.0,66.0,74.0,66.0,3.0,2.0,290.0,275.0,119.0,39.0,12.0,19.0,82.0,103.0,98.0,6.0,6.0,283.0,246.0,108.0,45.0,18.0,18.0,66.0,78.0,94.0,6.0,6.0,15.0,21.0,5.0,2.0,1.0,2.0,3.0,5.0,6.0,0.0,1.0,16.0,10.0,3.0,1.0,1.0,0.0,4.0,5.0,6.0,0.0,3.0
8,787.0,728.0,304.0,102.0,51.0,44.0,197.0,284.0,294.0,17.0,18.0,675.0,643.0,274.0,104.0,53.0,60.0,208.0,268.0,201.0,14.0,17.0,291.0,295.0,100.0,43.0,26.0,24.0,66.0,120.0,102.0,9.0,5.0,101.0,128.0,47.0,13.0,9.0,12.0,28.0,49.0,34.0,2.0,4.0,49.0,57.0,22.0,7.0,7.0,7.0,13.0,23.0,19.0,1.0,0.0,60.0,49.0,20.0,6.0,6.0,2.0,18.0,25.0,16.0,5.0,4.0,192.0,198.0,82.0,34.0,18.0,17.0,58.0,81.0,61.0,6.0,5.0,290.0,254.0,124.0,55.0,19.0,22.0,80.0,93.0,107.0,5.0,3.0,262.0,261.0,111.0,33.0,18.0,13.0,70.0,91.0,92.0,5.0,4.0,14.0,10.0,8.0,3.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,24.0,15.0,6.0,3.0,2.0,0.0,5.0,7.0,10.0,0.0,2.0
9,779.0,719.0,308.0,101.0,71.0,50.0,199.0,247.0,259.0,13.0,21.0,726.0,648.0,280.0,112.0,57.0,37.0,169.0,243.0,234.0,8.0,15.0,283.0,222.0,122.0,36.0,20.0,21.0,87.0,107.0,101.0,12.0,8.0,111.0,121.0,53.0,20.0,10.0,11.0,22.0,46.0,36.0,4.0,1.0,50.0,53.0,27.0,13.0,1.0,4.0,12.0,20.0,22.0,3.0,1.0,52.0,54.0,20.0,6.0,1.0,5.0,14.0,24.0,19.0,0.0,1.0,222.0,197.0,83.0,26.0,14.0,15.0,55.0,74.0,74.0,6.0,5.0,307.0,295.0,106.0,53.0,22.0,11.0,93.0,117.0,99.0,6.0,4.0,259.0,242.0,103.0,40.0,18.0,20.0,68.0,110.0,110.0,8.0,6.0,17.0,22.0,9.0,1.0,0.0,2.0,3.0,3.0,7.0,2.0,1.0,18.0,17.0,9.0,1.0,0.0,1.0,4.0,5.0,8.0,0.0,2.0
10,786.0,746.0,288.0,117.0,60.0,41.0,194.0,293.0,309.0,15.0,17.0,730.0,641.0,252.0,105.0,48.0,44.0,184.0,267.0,252.0,19.0,7.0,262.0,280.0,112.0,38.0,17.0,20.0,79.0,104.0,95.0,4.0,12.0,121.0,108.0,40.0,22.0,8.0,3.0,30.0,41.0,48.0,3.0,3.0,50.0,60.0,20.0,6.0,5.0,5.0,15.0,21.0,19.0,1.0,1.0,55.0,41.0,30.0,5.0,2.0,4.0,14.0,16.0,17.0,1.0,1.0,201.0,193.0,93.0,28.0,14.0,12.0,54.0,78.0,66.0,2.0,5.0,299.0,257.0,99.0,49.0,24.0,18.0,90.0,102.0,109.0,7.0,5.0,260.0,255.0,92.0,42.0,20.0,20.0,66.0,91.0,107.0,3.0,8.0,28.0,13.0,10.0,2.0,2.0,1.0,6.0,7.0,6.0,1.0,0.0,10.0,19.0,6.0,3.0,0.0,0.0,6.0,5.0,4.0,0.0,0.0
11,766.0,712.0,321.0,103.0,65.0,61.0,196.0,294.0,246.0,21.0,15.0,642.0,651.0,275.0,123.0,58.0,46.0,185.0,269.0,234.0,12.0,17.0,300.0,275.0,102.0,46.0,22.0,23.0,86.0,115.0,111.0,4.0,5.0,97.0,116.0,36.0,14.0,7.0,10.0,35.0,59.0,36.0,5.0,2.0,51.0,58.0,15.0,12.0,2.0,6.0,16.0,26.0,23.0,0.0,3.0,37.0,50.0,21.0,11.0,7.0,4.0,12.0,19.0,21.0,1.0,2.0,217.0,201.0,102.0,29.0,12.0,14.0,60.0,67.0,76.0,3.0,2.0,316.0,251.0,117.0,37.0,25.0,24.0,93.0,102.0,98.0,7.0,0.0,271.0,244.0,92.0,45.0,18.0,11.0,62.0,93.0,102.0,5.0,6.0,20.0,19.0,10.0,6.0,1.0,1.0,0.0,10.0,4.0,1.0,0.0,23.0,17.0,6.0,0.0,1.0,2.0,2.0,3.0,8.0,0.0,1.0
12,782.0,720.0,316.0,119.0,62.0,49.0,204.0,294.0,281.0,17.0,24.0,677.0,602.0,266.0,117.0,51.0,50.0,161.0,265.0,236.0,17.0,21.0,298.0,240.0,107.0,47.0,19.0,13.0,78.0,133.0,98.0,5.0,5.0,107.0,108.0,52.0,12.0,7.0,9.0,30.0,45.0,32.0,5.0,3.0,68.0,63.0,25.0,11.0,2.0,4.0,17.0,25.0,16.0,1.0,2.0,50.0,58.0,27.0,7.0,2.0,3.0,10.0,24.0,19.0,1.0,0.0,222.0,180.0,89.0,23.0,23.0,11.0,60.0,95.0,66.0,5.0,9.0,262.0,284.0,135.0,42.0,24.0,21.0,81.0,127.0,90.0,7.0,8.0,278.0,249.0,82.0,44.0,27.0,14.0,69.0,83.0,93.0,7.0,3.0,19.0,19.0,1.0,2.0,2.0,1.0,4.0,6.0,7.0,0.0,0.0,16.0,18.0,5.0,1.0,3.0,2.0,1.0,9.0,4.0,0.0,0.0
13,816.0,693.0,305.0,129.0,57.0,58.0,210.0,276.0,254.0,18.0,20.0,756.0,630.0,273.0,123.0,44.0,48.0,186.0,249.0,241.0,12.0,20.0,292.0,265.0,124.0,34.0,19.0,16.0,71.0,106.0,83.0,4.0,8.0,142.0,114.0,49.0,18.0,11.0,7.0,37.0,39.0,39.0,1.0,3.0,47.0,47.0,29.0,13.0,3.0,4.0,15.0,20.0,20.0,1.0,0.0,56.0,37.0,19.0,4.0,5.0,3.0,7.0,22.0,11.0,0.0,3.0,214.0,202.0,70.0,35.0,11.0,19.0,49.0,69.0,74.0,4.0,9.0,297.0,284.0,117.0,40.0,27.0,18.0,84.0,95.0,108.0,5.0,4.0,257.0,244.0,97.0,44.0,17.0,20.0,73.0,104.0,86.0,5.0,3.0,12.0,18.0,5.0,1.0,1.0,0.0,6.0,6.0,7.0,1.0,1.0,14.0,13.0,8.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
