seed,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
0,595.0,727.0,282.0,85.0,51.0,40.0,165.0,207.0,278.0,16.0,17.0,691.0,772.0,343.0,108.0,53.0,44.0,221.0,242.0,295.0,16.0,19.0,286.0,343.0,130.0,49.0,26.0,22.0,78.0,112.0,114.0,14.0,5.0,79.0,121.0,56.0,24.0,11.0,9.0,29.0,36.0,53.0,1.0,3.0,38.0,53.0,28.0,11.0,4.0,3.0,18.0,17.0,25.0,0.0,0.0,43.0,54.0,21.0,4.0,5.0,3.0,18.0,30.0,19.0,1.0,1.0,204.0,211.0,106.0,27.0,21.0,12.0,47.0,72.0,72.0,3.0,6.0,249.0,276.0,111.0,50.0,13.0,19.0,61.0,91.0,82.0,10.0,6.0,250.0,258.0,124.0,38.0,25.0,20.0,83.0,99.0,94.0,8.0,3.0,12.0,13.0,6.0,2.0,1.0,1.0,6.0,6.0,10.0,0.0,0.0,16.0,24.0,9.0,3.0,2.0,1.0,12.0,7.0,6.0,0.0,0.0
1,636.0,705.0,290.0,91.0,55.0,51.0,182.0,252.0,269.0,14.0,20.0,678.0,764.0,312.0,106.0,62.0,48.0,210.0,250.0,269.0,24.0,13.0,296.0,327.0,122.0,42.0,24.0,15.0,78.0,93.0,109.0,10.0,10.0,104.0,113.0,56.0,19.0,9.0,6.0,31.0,40.0,39.0,5.0,4.0,60.0,55.0,24.0,7.0,4.0,3.0,16.0,22.0,14.0,1.0,1.0,55.0,61.0,22.0,7.0,5.0,1.0,21.0,21.0,18.0,1.0,1.0,178.0,211.0,81.0,35.0,16.0,15.0,56.0,69.0,82.0,5.0,6.0,230.0,285.0,124.0,44.0,20.0,17.0,74.0,77.0,95.0,7.0,2.0,258.0,295.0,110.0,39.0,26.0,26.0,57.0,84.0,110.0,4.0,5.0,13.0,18.0,11.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0,1.0,24.0,21.0,9.0,2.0,2.0,1.0,7.0,7.0,6.0,1.0,1.0
2,632.0,728.0,325.0,91.0,51.0,51.0,186.0,249.0,252.0,10.0,12.0,675.0,787.0,276.0,110.0,47.0,47.0,224.0,267.0,280.0,17.0,20.0,305.0,350.0,131.0,43.0,18.0,24.0,79.0,124.0,108.0,5.0,4.0,102.0,116.0,32.0,17.0,9.0,10.0,27.0,29.0,41.0,5.0,2.0,55.0,49.0,23.0,7.0,2.0,3.0,15.0,11.0,18.0,0.0,1.0,39.0,50.0,23.0,8.0,5.0,4.0,16.0,21.0,18.0,1.0,1.0,191.0,201.0,71.0,23.0,21.0,11.0,57.0,75.0,65.0,7.0,5.0,246.0,260.0,106.0,32.0,25.0,15.0,88.0,90.0,101.0,7.0,8.0,256.0,287.0,122.0,48.0,16.0,16.0,91.0,103.0,86.0,9.0,14.0,13.0,15.0,6.0,2.0,3.0,2.0,5.0,2.0,4.0,0.0,0.0,18.0,14.0,9.0,6.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0
3,610.0,719.0,319.0,117.0,58.0,45.0,192.0,250.0,242.0,15.0,15.0,702.0,827.0,339.0,121.0,53.0,58.0,212.0,234.0,263.0,19.0,13.0,294.0,301.0,130.0,39.0,30.0,16.0,90.0,117.0,117.0,7.0,4.0,97.0,119.0,44.0,10.0,13.0,8.0,29.0,27.0,42.0,1.0,1.0,43.0,60.0,23.0,11.0,2.0,5.0,14.0,21.0,29.0,1.0,2.0,42.0,62.0,17.0,6.0,3.0,2.0,13.0,15.0,23.0,3.0,2.0,147.0,197.0,82.0,24.0,9.0,11.0,47.0,64.0,70.0,6.0,4.0,234.0,273.0,106.0,47.0,22.0,17.0,73.0,84.0,92.0,5.0,9.0,263.0,292.0,129.0,47.0,19.0,11.0,87.0,93.0,90.0,4.0,7.0,17.0,15.0,9.0,2.0,4.0,0.0,7.0,3.0,5.0,0.0,0.0,18.0,20.0,8.0,2.0,2.0,0.0,5.0,3.0,8.0,0.0,1.0
4,599.0,690.0,295.0,102.0,55.0,53.0,200.0,242.0,239.0,8.0,15.0,663.0,804.0,299.0,114.0,60.0,50.0,217.0,267.0,260.0,12.0,21.0,289.0,306.0,118.0,47.0,24.0,11.0,97.0,109.0,114.0,8.0,8.0,93.0,123.0,47.0,12.0,8.0,7.0,38.0,34.0,34.0,1.0,7.0,54.0,62.0,31.0,8.0,4.0,5.0,13.0,16.0,22.0,1.0,2.0,46.0,51.0,22.0,4.0,5.0,6.0,10.0,22.0,16.0,1.0,2.0,152.0,198.0,83.0,31.0,11.0,13.0,47.0,74.0,85.0,2.0,5.0,233.0,318.0,117.0,44.0,17.0,21.0,83.0,100.0,97.0,8.0,5.0,241.0,298.0,99.0,58.0,33.0,20.0,77.0,109.0,121.0,10.0,3.0,11.0,20.0,8.0,2.0,1.0,3.0,3.0,5.0,7.0,0.0,2.0,22.0,14.0,8.0,5.0,1.0,3.0,4.0,6.0,9.0,0.0,2.0
5,615.0,722.0,274.0,106.0,55.0,56.0,183.0,227.0,296.0,15.0,14.0,642.0,791.0,315.0,112.0,56.0,61.0,205.0,255.0,253.0,17.0,17.0,293.0,343.0,139.0,42.0,25.0,16.0,78.0,128.0,135.0,10.0,13.0,81.0,120.0,50.0,23.0,10.0,9.0,29.0,32.0,29.0,2.0,4.0,53.0,68.0,22.0,12.0,3.0,5.0,19.0,22.0,31.0,0.0,0.0,58.0,53.0,23.0,6.0,5.0,1.0,11.0,23.0,19.0,0.0,0.0,184.0,208.0,85.0,22.0,14.0,13.0,59.0,64.0,67.0,3.0,4.0,215.0,240.0,114.0,37.0,18.0,13.0,71.0,99.0,102.0,7.0,4.0,262.0,296.0,121.0,42.0,36.0,11.0,63.0,95.0,122.0,5.0,7.0,14.0,13.0,6.0,2.0,0.0,2.0,4.0,6.0,6.0,1.0,0.0,16.0,21.0,8.0,4.0,0.0,1.0,2.0,7.0,4.0,0.0,0.0
6,580.0,715.0,280.0,101.0,46.0,50.0,207.0,247.0,257.0,18.0,19.0,703.0,786.0,334.0,109.0,55.0,39.0,220.0,274.0,273.0,23.0,21.0,258.0,313.0,128.0,47.0,25.0,23.0,83.0,111.0,108.0,3.0,4.0,106.0,98.0,50.0,13.0,8.0,8.0,34.0,50.0,47.0,0.0,2.0,67.0,56.0,19.0,6.0,10.0,3.0,14.0,33.0,26.0,1.0,1.0,43.0,45.0,19.0,10.0,2.0,2.0,9.0,18.0,13.0,0.0,1.0,170.0,192.0,97.0,33.0,17.0,6.0,45.0,76.0,81.0,6.0,6.0,252.0,284.0,131.0,28.0,23.0,27.0,73.0,86.0,109.0,10.0,7.0,241.0,283.0,112.0,39.0,25.0,23.0,85.0,107.0,83.0,3.0,4.0,12.0,15.0,8.0,0.0,0.0,2.0,4.0,6.0,3.0,0.0,0.0,16.0,16.0,7.0,2.0,0.0,0.0,9.0,10.0,4.0,0.0,0.0
7,626.0,633.0,301.0,115.0,64.0,32.0,163.0,239.0,266.0,17.0,17.0,639.0,793.0,330.0,106.0,58.0,41.0,198.0,275.0,316.0,17.0,17.0,258.0,309.0,143.0,52.0,31.0,21.0,67.0,105.0,114.0,9.0,6.0,102.0,129.0,51.0,20.0,10.0,7.0,38.0,38.0,50.0,2.0,1.0,51.0,50.0,33.0,6.0,2.0,2.0,17.0,30.0,22.0,1.0,1.0,35.0,51.0,27.0,9.0,8.0,1.0,17.0,19.0,20.0,1.0,1.0,180.0,222.0,84.0,31.0,14.0,10.0,63.0,68.0,72.0,3.0,3.0,241.0,292.0,123.0,35.0,13.0,19.0,75.0,94.0,101.0,5.0,5.0,283.0,289.0,123.0,44.0,19.0,19.0,77.0,82.0,110.0,7.0,7.0,11.0,23.0,5.0,4.0,1.0,1.0,4.0,5.0,6.0,0.0,1.0,14.0,13.0,4.0,1.0,1.0,0.0,4.0,4.0,5.0,0.0,2.0
8,582.0,696.0,304.0,83.0,46.0,36.0,171.0,235.0,280.0,14.0,16.0,692.0,776.0,328.0,111.0,52.0,67.0,216.0,269.0,256.0,17.0,18.0,275.0,354.0,124.0,44.0,27.0,27.0,77.0,124.0,119.0,9.0,7.0,84.0,141.0,51.0,10.0,11.0,10.0,25.0,39.0,35.0,2.0,3.0,41.0,66.0,27.0,7.0,6.0,5.0,9.0,23.0,19.0,1.0,1.0,51.0,54.0,19.0,5.0,6.0,1.0,22.0,20.0,18.0,4.0,3.0,166.0,216.0,87.0,32.0,15.0,16.0,61.0,72.0,65.0,6.0,5.0,242.0,251.0,126.0,50.0,18.0,21.0,75.0,77.0,109.0,3.0,3.0,254.0,307.0,130.0,33.0,21.0,15.0,79.0,94.0,104.0,6.0,5.0,12.0,11.0,8.0,3.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,21.0,15.0,6.0,4.0,1.0,0.0,5.0,7.0,11.0,0.0,2.0
9,596.0,687.0,299.0,83.0,57.0,42.0,174.0,207.0,238.0,13.0,17.0,694.0,775.0,332.0,120.0,65.0,40.0,185.0,246.0,289.0,9.0,18.0,273.0,278.0,152.0,38.0,23.0,24.0,94.0,117.0,121.0,12.0,7.0,97.0,125.0,58.0,20.0,8.0,11.0,22.0,45.0,38.0,2.0,1.0,41.0,56.0,26.0,13.0,2.0,4.0,11.0,18.0,24.0,3.0,1.0,47.0,60.0,22.0,5.0,1.0,5.0,14.0,22.0,19.0,0.0,2.0,197.0,203.0,92.0,26.0,17.0,15.0,48.0,66.0,75.0,7.0,5.0,256.0,307.0,109.0,49.0,22.0,11.0,88.0,90.0,104.0,5.0,4.0,252.0,291.0,127.0,42.0,17.0,21.0,72.0,110.0,129.0,8.0,7.0,14.0,24.0,9.0,1.0,0.0,2.0,3.0,2.0,7.0,2.0,1.0,18.0,18.0,10.0,1.0,0.0,1.0,4.0,5.0,8.0,0.0,2.0
