,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,0.0,20.200000000000045,13.53333333333336,4.466666666666654,0.6666666666666714,0.46666666666666856,4.599999999999966,8.766666666666652,8.96666666666664,0.7999999999999972,0.0
Balearic,0.0,0.0,3.1666666666666856,0.0,0.0,0.0,0.0,1.3666666666666174,0.0,0.0,0.0
Crete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0999999999999943,0.13333333333333286,0.0
Cyprus,0.0,1.0999999999999943,0.10000000000000142,0.0,0.0,0.13333333333333286,0.0,0.0,0.0,0.0,0.06666666666666687
Malta,0.0,1.7000000000000028,0.600000000000005,0.5666666666666664,0.0,0.0,0.0,1.8000000000000007,0.7666666666666657,0.0,0.0
Madeira,0.0,3.4666666666666686,2.033333333333335,0.0,0.8666666666666667,0.0,0.5333333333333314,2.633333333333333,1.0,0.0,0.3333333333333335
Corsica,0.0,3.200000000000017,4.666666666666657,0.466666666666665,1.0000000000000018,0.0,0.0,0.0,0.8333333333333428,0.0,0.0
Sicily,0.0,0.0,0.0,1.7333333333333272,0.0,0.0,1.2999999999999972,0.0,2.200000000000003,1.7999999999999998,0.0
Sardinia,0.0,0.9000000000000057,0.0,1.1000000000000014,0.0,0.0,0.0,0.0,0.0,0.16666666666666696,0.06666666666666643
Antillas,0.0,1.333333333333334,0.0,0.16666666666666696,0.2666666666666667,0.0,0.06666666666666732,0.0,0.0,0.0,0.0
Azores,1.1666666666666679,1.1333333333333346,0.36666666666666625,0.0,0.03333333333333344,0.0,0.16666666666666696,0.033333333333333215,0.0,0.06666666666666671,0.0
