,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,785.9666666666667,730.3333333333334,308.7,115.6,60.333333333333336,50.733333333333334,211.16666666666666,288.1333333333333,271.2,18.033333333333335,17.566666666666666
Balearic,695.6,650.9666666666667,269.96666666666664,105.06666666666666,54.96666666666667,45.0,189.03333333333333,257.6,238.46666666666667,15.166666666666666,16.4
Crete,290.8,267.3333333333333,110.26666666666667,43.36666666666667,22.2,18.266666666666666,77.1,109.93333333333334,97.2,6.5,6.6
Cyprus,114.06666666666666,110.83333333333333,45.86666666666667,17.133333333333333,9.033333333333333,7.5,30.366666666666667,42.46666666666667,39.766666666666666,2.3,2.8666666666666667
Malta,58.2,56.5,22.933333333333334,9.4,3.7333333333333334,3.8,15.366666666666667,22.566666666666666,21.3,0.9666666666666667,1.1333333333333333
Madeira,49.166666666666664,48.8,20.4,6.9,4.633333333333334,2.933333333333333,13.1,21.4,17.466666666666665,0.9,1.6333333333333333
Corsica,204.76666666666668,195.43333333333334,82.93333333333334,29.566666666666666,16.666666666666668,12.533333333333333,54.53333333333333,76.03333333333333,69.1,4.7,4.433333333333334
Sicily,290.73333333333335,269.7,113.5,45.166666666666664,21.366666666666667,19.733333333333334,80.26666666666667,103.83333333333333,100.3,7.833333333333333,6.4
Sardinia,260.96666666666664,242.43333333333334,98.1,39.96666666666667,20.966666666666665,16.7,67.93333333333334,94.16666666666667,91.36666666666666,6.1,5.566666666666666
Antillas,16.7,16.666666666666668,6.2,2.3666666666666667,1.2666666666666666,1.0,4.7,5.7,5.866666666666666,0.5666666666666667,0.36666666666666664
Azores,18.766666666666666,17.433333333333334,7.133333333333334,2.8333333333333335,1.2666666666666666,1.3,4.5,5.933333333333334,5.633333333333334,0.43333333333333335,0.5666666666666667
