,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,0.0,18.76666666666665,12.033333333333303,5.63333333333334,1.3999999999999915,0.0,4.200000000000017,5.466666666666669,10.200000000000045,0.5,0.0
Balearic,0.0,0.0,2.03333333333336,0.0,0.0,0.0,0.0,1.1666666666666856,0.0,0.0,0.0
Crete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.200000000000003,2.9666666666666544,0.43333333333333357,0.0
Cyprus,0.0,1.5666666666666629,1.6999999999999957,0.0,0.0,0.09999999999999964,0.8000000000000007,0.0,0.0,0.0,0.03333333333333366
Malta,0.0,2.233333333333327,0.33333333333333215,0.1999999999999993,0.0,0.0,0.0,2.5333333333333314,0.23333333333333428,0.0,0.0
Madeira,0.13333333333333997,3.4666666666666686,1.2999999999999972,0.0,0.5333333333333332,0.0,0.7333333333333361,2.4333333333333336,0.5666666666666629,0.0,0.33333333333333326
Corsica,0.0,2.5666666666666913,4.566666666666663,0.0,0.9333333333333336,0.0,0.0,0.0,2.433333333333337,0.0,0.033333333333333215
Sicily,0.0,0.0,0.0,1.7666666666666728,0.0,0.0,1.7333333333333343,0.0,1.4333333333333655,1.833333333333333,0.0
Sardinia,0.0,1.7333333333332916,0.0,3.1000000000000014,0.0,0.0,0.0,0.0,0.0,0.06666666666666643,0.2666666666666666
Antillas,0.0,1.0666666666666647,0.0,0.1333333333333333,0.3666666666666666,0.033333333333333326,0.06666666666666643,0.0,0.0,0.0,0.0
Azores,1.166666666666666,1.033333333333335,0.7666666666666666,0.0,0.09999999999999987,0.0,0.0,0.20000000000000018,0.0,0.0,0.0
