,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,604.4666666666667,697.5333333333333,295.76666666666665,98.56666666666666,52.666666666666664,43.733333333333334,185.13333333333333,238.13333333333333,256.76666666666665,15.733333333333333,15.0
Balearic,673.4666666666667,785.9333333333333,326.1666666666667,112.26666666666667,58.96666666666667,48.666666666666664,208.83333333333334,263.46666666666664,281.6333333333333,16.433333333333334,17.7
Crete,280.46666666666664,322.93333333333334,133.5,46.46666666666667,24.033333333333335,20.1,84.86666666666666,111.76666666666667,116.33333333333333,7.133333333333334,6.966666666666667
Cyprus,96.93333333333334,118.2,49.13333333333333,16.233333333333334,8.666666666666666,7.566666666666666,29.833333333333332,39.06666666666667,41.53333333333333,2.1666666666666665,2.8333333333333335
Malta,50.666666666666664,61.03333333333333,24.733333333333334,8.966666666666667,3.7333333333333334,3.7666666666666666,15.666666666666666,20.366666666666667,22.333333333333332,0.9666666666666667,1.1333333333333333
Madeira,42.9,51.63333333333333,21.433333333333334,6.933333333333334,4.566666666666666,2.7333333333333334,12.933333333333334,19.633333333333333,17.966666666666665,0.8666666666666667,1.6
Corsica,177.93333333333334,210.16666666666666,89.66666666666667,28.033333333333335,16.433333333333334,12.333333333333334,54.6,69.33333333333333,74.4,4.766666666666667,4.766666666666667
Sicily,241.76666666666668,276.1,115.0,41.0,18.9,18.4,74.76666666666667,90.36666666666666,100.8,7.133333333333334,5.633333333333334
Sardinia,250.86666666666667,290.93333333333334,118.36666666666666,43.06666666666667,22.833333333333332,18.0,74.03333333333333,96.83333333333333,106.83333333333333,6.733333333333333,6.233333333333333
Antillas,14.633333333333333,17.633333333333333,6.733333333333333,2.3,1.3,0.9333333333333333,4.733333333333333,5.033333333333333,6.2,0.5333333333333333,0.36666666666666664
Azores,16.133333333333333,18.4,7.833333333333333,2.8,1.1333333333333333,1.2666666666666666,4.433333333333334,5.7,5.666666666666667,0.36666666666666664,0.5
