,Infectious diseases,Heat waves,Beaches availability,Water shortages,Forest fires,Marine habitats,Land habitats,Infrastructure damage,Cultural heritage damage,Attractiveness
Canary,0.0075,-0.0001,0.0002,0.0009,-0.0028,0.0,0.5604,0.3534,0.0637,0.0002
Balearic,0.0,-0.0005,0.0005,0.0007,0.0017,0.0,0.3927,0.432,0.169,-0.0004
Crete,0.0,0.0002,0.0008,0.0027,0.007,0.0,0.3829,0.2522,0.318,0.0013
Cyprus,0.0,-0.0002,0.0008,-0.0022,0.0022,0.0,0.4737,0.3051,0.222,-0.0001
Malta,0.0,0.0004,-0.0007,0.0019,0.0,0.0,0.2916,0.1655,0.4789,0.0003
Madeira,0.0378,0.0,-0.0009,0.0055,0.0047,0.0,0.46,0.2808,0.2184,0.0032
Corsica,0.0026,0.0002,-0.0012,-0.0029,-0.0096,0.0,0.2756,0.1606,0.5103,-0.0003
Sicily,0.0,0.0004,-0.0005,-0.0028,-0.0062,0.0,0.4759,0.2932,0.2079,0.0002
Sardinia,0.0,-0.0003,0.0001,0.0002,-0.0072,0.0,0.5391,0.1952,0.2635,-0.0005
Antillas,0.0706,-0.001,-0.001,-0.0048,0.0029,0.0,0.3851,0.2341,0.1432,0.0031
Azores,0.0861,0.0,0.0109,0.0147,0.105,0.0,0.2858,0.2006,0.1178,-0.0032
mean,0.0186,-0.0001,0.0008,0.0013,0.0089,0.0,0.4112,0.2612,0.2466,0.0003
std,0.0318,0.0004,0.0034,0.0053,0.0323,0.0,0.0997,0.0831,0.1409,0.0018
